history_id,account_id,borrower_id,event_at,status,changed_by,source,recorded_at,snap_month,loan_type,dpd,risk_segment,outstanding_amount
HISTORY0003522,ACC0024774,BRW0011253,2026-08-08 23:50:45,ACTIVE,AGT0000006,BATCH,2026-08-09 06:26:28,2026-08,CREDIT_CARD,90,MEDIUM,656264.83
HISTORY0057861,ACC0025707,BRW0009546,2026-08-08 23:46:56,NPA,AGT0000052,CALL,2026-08-09 10:57:04,2026-08,CONSUMER,60,HIGH,646208.43
HISTORY0033197,ACC0005465,BRW0000009,2026-08-08 23:45:12,PTP,AGT0000056,PAYMENT,2026-08-09 15:50:16,2026-08,BNPL,15,NPA,136596.15
HISTORY0013817,ACC0008783,BRW0009318,2026-08-08 23:43:22,CLOSED,AGT0000037,CALL,2026-08-09 21:53:04,2026-08,AUTO,90,HIGH,547037.65
HISTORY0018504,ACC0004151,BRW0006455,2026-08-08 23:39:37,WRITEOFF,AGT0000009,CORE,2026-08-08 15:00:44,2026-08,CONSUMER,0,LOW,564575.7
HISTORY0047876,ACC0017125,BRW0007426,2026-08-08 23:33:23,PAID,AGT0000027,BATCH,2026-08-09 12:32:07,2026-08,AUTO,5,MEDIUM,388475.96
HISTORY0055036,ACC0001151,BRW0010857,2026-08-08 23:31:14,PAID,AGT0000076,BATCH,2026-08-09 22:02:27,2026-08,BNPL,75,HIGH,371149.97
HISTORY0049789,ACC0007062,BRW0005118,2026-08-08 23:27:18,NPA,AGT0000068,PAYMENT,2026-08-07 23:29:28,2026-08,CREDIT_CARD,90,HIGH,366939.14
HISTORY0039349,ACC0003957,BRW0000778,2026-08-08 23:16:36,DELINQUENT,AGT0000063,CORE,2026-08-08 07:59:32,2026-08,BNPL,0,HIGH,577777.22
HISTORY0055598,ACC0011071,BRW0006722,2026-08-08 23:15:45,DELINQUENT,AGT0000077,FIELD,2026-08-09 08:12:30,2026-08,CONSUMER,60,NPA,49200.64
HISTORY0049819,ACC0008588,BRW0001476,2026-08-08 23:08:24,WRITEOFF,AGT0000039,FIELD,2026-08-08 08:05:42,2026-08,CREDIT_CARD,15,MEDIUM,25039.61
HISTORY0053590,ACC0004574,BRW0007945,2026-08-08 23:02:13,NPA,AGT0000004,BATCH,2026-08-08 21:30:42,2026-08,BNPL,5,HIGH,473872.35
HISTORY0024042,ACC0016325,BRW0001366,2026-08-08 22:53:41,WRITEOFF,AGT0000058,BATCH,2026-08-08 08:02:24,2026-08,BNPL,5,NPA,626908.67
HISTORY0047614,ACC0003321,BRW0009250,2026-08-08 22:45:26,PAID,AGT0000087,FIELD,2026-08-08 08:08:39,2026-08,PERSONAL,120,MEDIUM,413040.06
HISTORY0049292,ACC0018572,BRW0006857,2026-08-08 22:32:44,WRITEOFF,AGT0000089,CALL,2026-08-08 11:51:35,2026-08,PERSONAL,60,MEDIUM,233757.53
HISTORY0006117,ACC0006020,BRW0011427,2026-08-08 22:23:47,WRITEOFF,AGT0000072,CALL,2026-08-09 06:54:46,2026-08,BNPL,0,LOW,602621.77
HISTORY0013203,ACC0019039,BRW0006922,2026-08-08 22:16:24,ACTIVE,AGT0000041,CORE,2026-08-09 05:30:49,2026-08,CREDIT_CARD,5,NPA,342929.42
HISTORY0036617,ACC0006858,BRW0003282,2026-08-08 22:15:53,DELINQUENT,AGT0000005,CORE,2026-08-09 20:08:00,2026-08,CONSUMER,0,NPA,47349.36
HISTORY0018231,ACC0025391,BRW0009037,2026-08-08 22:14:33,PTP,AGT0000081,PAYMENT,2026-08-09 19:21:08,2026-08,AUTO,90,MEDIUM,568763.22
HISTORY0040898,ACC0016672,BRW0006692,2026-08-08 22:14:10,PAID,AGT0000005,CORE,2026-08-08 01:40:14,2026-08,PERSONAL,45,NPA,89376.55
HISTORY0041233,ACC0017273,BRW0004593,2026-08-08 22:00:51,NPA,AGT0000038,CORE,2026-08-08 05:30:11,2026-08,CONSUMER,45,LOW,94102.36
HISTORY0029410,ACC0019444,BRW0000168,2026-08-08 21:53:38,CLOSED,AGT0000084,CORE,2026-08-08 03:28:02,2026-08,AUTO,60,LOW,242330.71
HISTORY0024886,ACC0017652,BRW0008371,2026-08-08 21:48:55,DELINQUENT,AGT0000098,CORE,2026-08-09 14:53:01,2026-08,CREDIT_CARD,60,NPA,321115.32
HISTORY0048488,ACC0024472,BRW0001215,2026-08-08 21:32:51,WRITEOFF,AGT0000015,PAYMENT,2026-08-08 16:49:35,2026-08,AUTO,45,HIGH,553785.15
HISTORY0009058,ACC0021505,BRW0005256,2026-08-08 21:32:08,DELINQUENT,AGT0000045,CALL,2026-08-09 08:54:35,2026-08,AUTO,90,NPA,321670.53
HISTORY0030943,ACC0009580,BRW0004448,2026-08-08 21:26:17,PTP,AGT0000040,PAYMENT,2026-08-08 08:58:57,2026-08,CONSUMER,120,HIGH,563853.17
HISTORY0019941,ACC0005371,BRW0005922,2026-08-08 21:22:37,NPA,AGT0000073,CORE,2026-08-09 06:50:34,2026-08,CREDIT_CARD,60,NPA,493671.41
HISTORY0006110,ACC0003434,BRW0002264,2026-08-08 21:18:48,ACTIVE,AGT0000012,PAYMENT,2026-08-08 05:40:36,2026-08,BNPL,0,NPA,351350.94
HISTORY0054293,ACC0020736,BRW0002673,2026-08-08 21:12:00,PAID,AGT0000013,FIELD,2026-08-08 20:24:02,2026-08,AUTO,15,HIGH,551899.4
HISTORY0023651,ACC0004636,BRW0003992,2026-08-08 21:02:07,ACTIVE,AGT0000097,BATCH,2026-08-09 12:43:59,2026-08,CREDIT_CARD,0,HIGH,389308.4
HISTORY0008600,ACC0006426,BRW0000772,2026-08-08 20:58:21,WRITEOFF,AGT0000081,CORE,2026-08-07 21:39:45,2026-08,AUTO,120,HIGH,352896.2
HISTORY0028768,ACC0001468,BRW0006987,2026-08-08 20:55:40,WRITEOFF,AGT0000043,BATCH,2026-08-09 11:03:42,2026-08,CREDIT_CARD,90,LOW,164704.28
HISTORY0039170,ACC0026793,BRW0001979,2026-08-08 20:53:17,PTP,AGT0000040,CORE,2026-08-09 15:12:39,2026-08,CREDIT_CARD,1,NPA,389513.87
